"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","304.947","301.932","301.822","297.246","296.861","296.2","285.91","281.041","278.187","273.206","267.794","262.744","256.081","251.102","245.408","243.781","238.503","234.31","229.934","224.58","218.434","206.703","203.559","202.547","200.57","199.116","197.608","187.741","179.996","180.445","179.24","178.4","177.512","176.512","175.45","174.545","172.4","171.553","170.704","169.87","169.694","167.748","166.186","164.507","168.074","162.698","156.245","149.887","156.53","150.283","143.427","141.362","139.318","138.647","136.992","135.037","134.258","130.629","127.002","124.312","124.099","140.466","",
"Africa Eastern and Southern","AFE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","448.240478625778","450.437827971961","446.952226876727","450.361219063484","443.943395206955","447.694154296284","449.731975033038","443.320108345201","439.444057819422","438.163719194576","434.884911466743","429.055714395339","435.752752246155","419.096539310986","419.343960952358","417.873255259753","415.266712341312","413.492423116325","415.971842346996","407.39410603382","402.529236055026","398.205384675205","398.712051099307","420.102138050008","431.173837974818","428.1012925211","424.442755799645","430.823685487456","444.681632239831","425.10871608735","432.09811522325","434.186117439907","445.721866853043","448.539971217562","432.050197141033","435.500036027089","444.749022039596","445.058348506256","468.709993782091","457.20471763184","439.202798386062","440.239968675587","439.357767543816","434.614584541472","430.109770301598","422.94500869181","411.222913391041","402.913180216015","395.414062413378","384.791112857646","373.667083881814","362.455589759334","352.27225616659","344.462363931698","336.276301719979","329.495008170481","322.218327261509","314.493960829276","309.165670695495","302.772440623228","311.485312318638","332.823557301104","",
"Afghanistan","AFG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","601.887","594.812","588.87","583.144","577.178","571.526","565.571","559.967","554.061","548.058","542.163","536.333","530.118","523.162","516.322","509.418","502.722","495.365","536.287","580.634","575.356","570.111","642.693","641.458","762.193","764.443","639.184","637.127","542.567","521.198","510.052","502.877","499.627","393.724","422.588","390.447","381.229","374.88","401.359","357.328","355.447","349.36","331.54","321.913","313.483","310.94","314.837","318.012","305.06","293.605","288.75","282.654","277.057","271.596","274.007","278.424","274.045","311.655","319.849","305.768","318.587","342.158","",
"Africa Western and Central","AFW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","492.571725645155","489.001202828852","470.802478083042","469.11290426744","467.829713907926","463.386158836018","462.677374839889","484.570383174242","473.39326092872","470.010478416692","448.992853930838","442.326183260151","434.203506380144","427.084400797968","420.807871249571","414.097588163022","406.20764123326","399.696244245989","396.474859106344","394.208687664613","393.006787348125","390.640776349274","389.961748626677","387.462393059401","386.968759829561","388.194519864966","389.198109194686","391.219186946176","386.015903996949","384.955032266361","391.91102131306","391.653838139655","393.284113570048","393.274144877746","398.81687963618","399.997838800407","401.176333758419","401.683532998771","398.48376953308","395.634216933314","389.595966413774","387.783966162596","386.518945121053","383.396003510559","380.093784143369","375.325045889788","370.226982476243","367.142673981811","362.601546666195","357.442635246772","353.499330499824","348.738626228748","345.971253251532","343.312222862022","341.807849872483","339.664654474451","333.254416661094","332.079861529272","329.087406392542","326.635575564567","337.587341383031","346.620096688814","",
"Angola","AGO","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","473.846","543.464","542.759","540.674","539.104","536.085","536.275","533.971","530.59","527.777","525.074","521.007","517.812","515.749","511.698","531.136","537.501","536.039","529.682","524.792","521.651","515.358","513.248","541.646","539.274","533.556","530.007","582.573","566.657","561.656","559.379","508.697","544.587","587.898","553.672","437.717","433.677","432.576","477.222","495.987","469.15","481.08","454.962","409.718","400.21","391.77","389.257","376.381","367.605","359.053","353.366","345.748","337.853","332.765","326.818","321.296","316.08","308.611","308.888","305.594","313.481","331.364","",
"Albania","ALB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","220.933","213.827","207.742","200.884","194.071","190.045","186.721","181.278","176.931","171.922","167.35","164.487","161.057","156.707","153.534","151.071","149.649","147.233","147.545","145.827","138.768","137.798","136.635","135.146","134.115","133.755","131.735","129.084","128.714","127.84","127.21","125.625","123.24","121.291","119.91","118.502","116.932","134.619","113.276","112.103","110.606","109.086","107.491","106.344","105.25","104.528","104.124","97.193","97.633","96.591","95.606","94.095","93.879","93.142","89.576","86.126","82.916","79.586","76.657","74.029","114.508","122.111","",
"Andorra","AND","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","413.12608767688","408.116215569339","408.238031189077","392.720961405566","379.773118054869","380.049992729731","383.546885473826","383.533290438905","377.007639427538","377.343054348505","372.279166239238","358.536294711167","352.483891633391","349.733257456384","340.271150241959","340.357312999313","337.502631229721","319.85148772797","312.376616890074","305.748036397672","309.223493308354","312.117828650388","314.429348240733","305.357523985315","299.922046798833","292.95585512261","288.123442375564","291.767406307726","308.642015397978","271.443931938271","267.331563476825","257.163237378523","253.528545789865","242.751687303779","226.098606715541","233.039714417522","228.712810964984","226.900142357812","233.213513174935","214.404686075014","210.58698450397","206.532670329711","203.646513368344","209.089642401743","211.909966521247","209.470858710425","205.49939097559","200.677689632101","193.531851283879","184.118564336215","180.896549186384","178.536638975967","181.886515000287","183.161085457515","179.043943477884","174.622171391281","175.331361201491","169.021950917385","164.950778008648","160.369004550362","170.001343958604","172.926666817231","",
"United Arab Emirates","ARE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","402.435","394.752","385.927","378.601","365.752","354.27","342.951","332.765","319.295","305.264","290.301","275.97","261.435","252.297","238.67","232.813","226.347","220.589","214.857","209.229","202.161","195.252","189.573","189.068","182.875","181.839","180.959","174.649","174.921","174.098","173.458","166.917","166.363","166.485","166.381","165.748","163.002","160.85","159.049","147.54","133.12","129.939","126.548","103.501","100.708","98","95.227","92.835","90.399","88.043","85.646","83.394","80.672","78.858","76.298","73.993","72.596","70.841","69.448","68.244","70.319","70.961","",
"Argentina","ARG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","269.098","263.573","268.467","266.354","270.349","267.262","262.958","264.912","271.789","276.196","264.347","266.788","263.822","260.937","263.564","257.612","260.032","252.2","246.411","243.483","244.167","241.376","245.044","238.57","241.856","231.05","223.76","216.781","208.954","204.05","197.946","192.838","191.719","191.683","177.904","181.927","180.225","187.009","181.185","178.221","176.243","174.541","174.967","174.324","165.484","163.848","159.537","167.463","157.517","152.466","154.367","150.196","148.625","147.396","142.238","143.506","147.558","140.418","138.893","136.151","147.707","147.702","",
